Scenario,Sample ID,Sample status,Sorties,Energy (kWh),Operation Time (s),Selected batch IDs
r0.30_a1.0_b1.0,11,formal sampled,25,66.5535647581652,44748.60336218227,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|B|00024;S003|B|00036;S003|C|00195;S004|B|00012;S004|B|00018;S004|B|00033;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.0,12,formal sampled,25,66.5540073818203,44742.60336218227,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|B|00011;S003|B|00132;S003|C|00112;S004|B|00012;S004|B|00018;S004|B|00033;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.0,13,formal sampled,26,66.51903146077906,46485.57841439696,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|B|00024;S003|B|00036;S003|B|00066;S003|B|00129;S004|B|00012;S004|B|00018;S004|B|00033;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.1,1,formal sampled,20,67.50470413442511,36586.26912606206,S001|C|01022;S001|C|31745;S002|C|00054;S002|C|00201;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.1,2,formal sampled,21,67.30622045142512,38262.24165580398,S001|C|01022;S001|C|31745;S002|C|00054;S002|C|00201;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.1,3,formal sampled,21,67.34832455996599,38123.84497526718,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|C|00195;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.1,4,formal sampled,21,67.34877620144975,38117.84497526718,S001|C|01022;S001|C|31745;S002|B|00011;S002|B|00132;S002|C|00112;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.1,5,formal sampled,22,67.149840876966,39799.817505009094,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|C|00195;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.1,6,formal sampled,22,67.15029251844976,39793.817505009094,S001|C|01022;S001|C|31745;S002|B|00011;S002|B|00132;S002|C|00112;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.1,7,formal sampled,22,67.22823928389407,39661.42082447229,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
